location,2021-11-13,2021-11-25,2021-12-18,2022-01-17,2022-02-12,2022-04-27,2022-05-27,2022-06-18,2022-08-27,2022-10-08,2022-12-17,2023-02-17,2023-04-15,2023-06-10,2023-07-22,2023-09-11,2023-11-02
A01,,,,,,,0.0033,,,,,,,,,,
A11,,,,,,0.1555,0.0732,,,0.0156,0.0327,,,,,0.0899,0.1595
B12M,,,,,,0.2542,0.581,,,,,,,,,,
C01,,,,,0.0171,,,,,,,,,,,,
C05,0.7197,0.616,0.6401,0.8666,0.5943,0.7504,0.8881,0.5476,0.5093,0.9798,1.2363,1.0314,1.0159,0.8431,1.0384,0.7011,0.6931
CB11,,0.1139,,,,,,,,,,0.2323,0.1052,,,0.2158,0.3731
D03,,,,,,0.2023,,0.2222,0.3339,0.201,0.435,,,0.2147,0.4441,0.5869,0.7011
D05,,,,,,,,,,,,0.3,0.0414,,,,
D09,,,,,,0.3339,,0.425,0.484,0.7066,0.3793,0.5662,0.5396,0.5042,0.3001,0.4107,0.2766
E04,,,,,,,,0.0137,,,,,,,,,
E07,,,,,,,,0.0204,0.0498,0.0877,0.1146,,,,,,
F05,,,,,,,,,,,0.287,0.4755,0.4207,,,,
F09,,,,,,1.0692,,0.7285,0.5126,1.031,1.511,1.1887,1.125,0.9849,,,
F10,,,,,,,,,,,,,,,,0.7009,0.6711
G05,0.0914,,,,,,,,,,,1.1386,0.6058,0.4739,,0.5933,0.4082
H04,,,,,,0.5194,,0.3727,0.3272,0.2125,0.7364,0.8097,0.4601,0.2782,0.244,0.197,0.1435
H05,,,,,0.5372,,,,,,,,,,,,
H07,,,,0.2953,,,,,,,,,,,,,
H09,,,,,,0.553,,0.4008,,,,,,,,0.1745,
H14,,,,,,0.0286,,,,,,,,,,,
H15,,,,0.0143,0.0743,,,,0.0574,,,,,,,,
J06,,,,,,,,,,,,,,,,0.0331,0.0109
J07,,,,,,0.0167,,0.0167,,,,,,,,,
J11,,,,,,0.0101,,0.059,0.1484,0.0069,0.06,,,,,,
K09,,,,0.0714,0.0743,0.0766,,0.0781,0.1235,0.288,0.3471,0.15,0.105,,,,
KS06,,,,,,,,,,0.158,0.2412,0.1948,0.0797,,,,
M01,,,,,,0.1836,0.284,,,,,,,,,,
M02,,0.2227,,,,,,,,,,,,,,,
M04,,,,,,0.3001,0.3254,0.3636,0.2243,0.3137,0.5036,0.6443,0.5258,0.4469,0.5649,0.399,0.2491
M05,0.0769,,,,,,,,,,,,,,,,
N08M,,,,,,,,,,,,,0.0438,,,0.1405,0.1795
N14,,,0.147,0.0667,0.0852,0.2867,,,0.3972,0.055,0.8712,0.1301,0.0372,0.0275,0.0835,,0.2546
N20,,,,,,0.8709,0.82,0.7244,,1.1952,1.3697,0.6071,0.5421,0.7487,0.5777,0.2378,0.2662
NB14,,,,,,,,,,,,0.2091,0.2083,0.1586,0.2817,0.3508,0.2074
NB5T,,,,,,,,,,,,0.4093,0.1841,,,,
S13T,,,,,,,,,0.2646,0.4,0.2982,0.4952,0.3051,,,0.4504,0.3534
S23,,,,,,,,,,,,,,,,0.6901,0.3185
T10,,,,,,,,0.1516,0.619,0.0566,0.6514,,,,,,
V04,,,,,,,,,,,,,,,,0.3067,0.3623
V05,,,,,,,,,,,,0.7127,0.1897,,,,
V23,,,,,,,,,,,,0.4384,,,,,
W04,,,,,,,,,,,,,,,,0.0863,0.0714
W20,,,,,,,,,,,,,,,,0.0646,0.0714
WB09,,,,,,,,0.2109,0.3474,0.3507,,,,,,,
WD05,,,,,,0.2896,0.3476,0.2078,0.1906,0.2664,0.3272,,,,,,
WD07,,,0.0682,,,,,,,,,,,,,,
